bin_center,mean_pred,frac_pos,count
0.03333333333333333,0.010896841064095497,0.0,2
0.1,0.11139518022537231,0.0,1
0.16666666666666669,0.14832985401153564,0.75,4
0.23333333333333334,0.23147498071193695,0.3333333333333333,3
0.3,0.2868843078613281,1.0,1
0.3666666666666667,,,0
0.43333333333333335,,,0
0.5,0.5081334114074707,0.5,2
0.5666666666666667,0.557553231716156,1.0,1
0.6333333333333333,0.6256358027458191,0.8,5
0.7,0.7164663076400757,0.75,4
0.7666666666666666,0.771324872970581,0.875,8
0.8333333333333334,0.8252127170562744,0.8333333333333334,6
0.9,0.9025506973266602,0.7272727272727273,11
0.9666666666666667,0.9833992123603821,0.9490445859872612,157
