model,auroc,auprc,accuracy,balanced_accuracy,ece,brier
logreg,0.09192625354550266,-0.015900902936528682,0.004878048780487809,0.19761565950354942,0.010868813261026275,-0.0024472528286338946
mlp,0.15898072208066916,-0.0018565589800877413,0.014634146341463428,0.22521545438520585,-0.003310685091447524,-0.01539603993969299
rf,0.09349092191080555,-0.0027454211969222264,0.039024390243902474,0.3048148326202266,0.027525083273876566,-0.0067927395227687926
