bin_center,mean_pred,frac_pos,count
0.03333333333333333,0.028046720847717737,0.06666666666666667,15
0.1,0.10606194094640085,0.0,9
0.16666666666666669,0.17116887674174291,0.0,5
0.23333333333333334,0.266112190222844,0.0,1
0.3,0.3158089904445865,0.0,3
0.3666666666666667,0.3651820309010066,0.6666666666666666,3
0.43333333333333335,0.4235512178060322,0.2,5
0.5,0.5090439371122927,0.75,4
0.5666666666666667,0.5718757762416556,0.75,8
0.6333333333333333,0.6380060075817628,0.6923076923076923,13
0.7,0.703834391883207,0.9565217391304348,23
0.7666666666666666,0.7683419724623844,0.9473684210526315,19
0.8333333333333334,0.8382338056652857,0.8571428571428571,28
0.9,0.8977894002406899,1.0,40
0.9666666666666667,0.9605514789122488,1.0,29
