bin_center,mean_pred,frac_pos,count
0.03333333333333333,0.04780758172273636,0.0,2
0.1,,,0
0.16666666666666669,0.1761932224035263,0.7142857142857143,7
0.23333333333333334,0.25331783294677734,0.0,1
0.3,0.2911209166049957,0.6666666666666666,3
0.3666666666666667,0.3716803789138794,0.5,4
0.43333333333333335,0.45815548300743103,1.0,1
0.5,0.5192988514900208,0.6,5
0.5666666666666667,0.5729941725730896,0.8333333333333334,6
0.6333333333333333,0.6627540588378906,1.0,1
0.7,0.705744206905365,0.8333333333333334,12
0.7666666666666666,0.7729809880256653,0.8666666666666667,15
0.8333333333333334,0.8393595814704895,0.8928571428571429,28
0.9,0.9043121933937073,0.9183673469387755,49
0.9666666666666667,0.9663105010986328,1.0,71
