bin_center,mean_pred,frac_pos,count
0.03333333333333333,0.028053429,0.037037037037037035,27
0.1,0.09789652,0.2,5
0.16666666666666669,0.15395926,0.3333333333333333,3
0.23333333333333334,0.22311132,0.3333333333333333,3
0.3,0.28994,0.3333333333333333,6
0.3666666666666667,0.3732052,0.6,5
0.43333333333333335,0.4264756,0.6666666666666666,3
0.5,0.49222487,0.8,5
0.5666666666666667,0.57100874,1.0,7
0.6333333333333333,0.63827264,0.875,8
0.7,0.70660776,0.8181818181818182,11
0.7666666666666666,0.7697834,1.0,14
0.8333333333333334,0.8417879,1.0,18
0.9,0.9008436,0.9090909090909091,44
0.9666666666666667,0.96717983,0.9782608695652174,46
