split,model,auroc,auprc,accuracy,balanced_accuracy,ece,brier
scaffold,logreg,0.8192995529061103,0.9738656685989309,0.8878048780487805,0.6772230501738699,0.0786101009787583,0.0924761377353456
scaffold,rf,0.8428961748633879,0.9792873356671434,0.8731707317073171,0.5490561351217089,0.08806216645119216,0.08932715869709086
scaffold,mlp,0.7619225037257824,0.9578415721541391,0.9024390243902439,0.6454297069051167,0.06450286960092985,0.08648546749825452
random,logreg,0.911225806451613,0.9579647656624022,0.8926829268292683,0.8748387096774193,0.08947891423978457,0.09002888490671171
random,rf,0.9363870967741934,0.9765419144702212,0.9121951219512195,0.8538709677419355,0.11558724972506873,0.08253441917432207
random,mlp,0.9209032258064516,0.9559850131740514,0.9170731707317074,0.8706451612903225,0.06119218450948233,0.07108942755856153
