bin_center,mean_pred,frac_pos,count
0.03333333333333333,0.014682554639875889,0.0967741935483871,31
0.1,0.08800818026065826,0.2,5
0.16666666666666669,0.19029758870601654,1.0,1
0.23333333333333334,0.2659927010536194,0.0,1
0.3,0.29597556591033936,0.25,4
0.3666666666666667,0.3920900821685791,0.0,2
0.43333333333333335,0.452920138835907,0.0,1
0.5,,,0
0.5666666666666667,0.5792427659034729,0.0,1
0.6333333333333333,0.6596351861953735,1.0,1
0.7,0.6866609454154968,0.4,5
0.7666666666666666,0.7668410539627075,1.0,1
0.8333333333333334,0.8321555852890015,0.8,5
0.9,0.8986107707023621,0.9230769230769231,13
0.9666666666666667,0.9916267991065979,0.9626865671641791,134
