bin_center,mean_pred,frac_pos,count
0.03333333333333333,,,0
0.1,,,0
0.16666666666666669,0.18150787477417912,0.0,1
0.23333333333333334,0.22077759773193217,1.0,1
0.3,0.325023199023199,1.0,1
0.3666666666666667,0.37075218421928946,0.5,2
0.43333333333333335,0.4569092668591675,0.6666666666666666,3
0.5,0.49469534937504495,0.6666666666666666,3
0.5666666666666667,0.5744791609494236,0.5555555555555556,9
0.6333333333333333,0.6351629397328149,0.6363636363636364,11
0.7,0.704773025277116,0.875,16
0.7666666666666666,0.7742522495696968,0.88,25
0.8333333333333334,0.835797968970718,0.8913043478260869,46
0.9,0.9001606524853989,1.0,52
0.9666666666666667,0.9509265629799211,1.0,35
